DATE,TIME,ADDRESS,MUNICIPALITY,CRIME
2/26/2018,18:02,200 Leland Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
2/26/2018,19:02,426 East Front St,PLAINFIELD,SIMPLE ASSAULT
2/26/2018,20:12,Central Av && West 2nd St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
2/26/2018,20:40,428 West 5th St,PLAINFIELD,UNLAWFUL ENTRY - RESIDENCE - DAY
2/26/2018,23:08,1207 South 2nd St,PLAINFIELD,SIMPLE ASSAULT
2/27/2018,0:13,200 West 4th St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
2/27/2018,7:27,852 Adam Cir,PLAINFIELD,LRCNY BTWN $50 & $200 - FROM AUTOS
2/27/2018,9:56,520 Central Av,PLAINFIELD,MISSING ADULT
2/27/2018,12:19,324 Monroe Av,PLAINFIELD,ROBBERY - KNIFE - MISCELLANEOUS
2/27/2018,12:44,1115 Helene Av,PLAINFIELD,MISSING MINOR
2/27/2018,12:53,739 Leland Av,PLAINFIELD,POSSESSION OF MARIJUANA
2/27/2018,12:57,661 West 8th St,PLAINFIELD,LARCENY OVER $200 - OTHER
2/27/2018,13:56,739 Leland Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
2/27/2018,14:49,300 Central Av,PLAINFIELD,SALE/MANUFACTURE OF OPIUM/COCAINE/DERIV
2/27/2018,14:53,800 Park Av,PLAINFIELD,LARCENY OVER $200 - BICYCLE
2/27/2018,15:17,950 Park Av,PLAINFIELD,SIMPLE ASSAULT
2/27/2018,15:38,800 Park Av,PLAINFIELD,DISORDERLY CONDUCT
2/27/2018,17:28,1459 Frances Ln,PLAINFIELD,LARCENY OVER $200 - FROM AUTO/NOT PARTS
2/27/2018,17:30,1304 South Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
2/27/2018,18:45,949 Central Av,PLAINFIELD,CRIMINAL MISCHIEF
2/27/2018,19:23,335 East Front St,PLAINFIELD,SIMPLE ASSAULT
2/27/2018,22:57,100 East 5th St,PLAINFIELD,POSSESSION OF MARIJUANA
2/28/2018,9:10,Arlington Av && Rose St,PLAINFIELD,SIMPLE ASSAULT
2/28/2018,9:25,1120 Myrtle Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
2/28/2018,11:25,531 West 8th St,PLAINFIELD,LARCENY OVER $200 - OTHER
2/28/2018,12:58,1700 West Front St,PLAINFIELD,SIMPLE ASSAULT
2/28/2018,13:32,950 Park Av,PLAINFIELD,SIMPLE ASSAULT
2/28/2018,17:53,1227 East Front St,PLAINFIELD,LARCENY UNDER $50 - FROM BUILDINGS
2/28/2018,18:56,40 Westervelt Av,PLAINFIELD,AGGRAVATED ASSAULT
3/1/2018,8:45,1105 East 2nd St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/1/2018,10:12,300 Liberty St,PLAINFIELD,POSSESSION OF OPIUM/COCAINE/HEROIN
3/1/2018,10:23,300 New St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/1/2018,12:28,365 Emerson Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/1/2018,14:08,George St && Sumner Av,PLAINFIELD,POSSESSION OF SYNTHETIC NARCOTIC
3/1/2018,16:07,542 East Front St,PLAINFIELD,CRIMINAL MISCHIEF
3/1/2018,17:26,730 Park Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/1/2018,19:01,825 1st Pl,PLAINFIELD,FORCIBLE ENTRY - RESIDENCE - DAYTIME
3/2/2018,7:44,721 Berckman St,PLAINFIELD,POSSESSION OF MARIJUANA
3/2/2018,19:47,560 West Front St,PLAINFIELD,ASSAULT - KNIFE OR CUTTING INSTRUMENT
3/2/2018,21:54,228 East 7th St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/3/2018,1:04,1248 Arlington Av,PLAINFIELD,SIMPLE ASSAULT
3/3/2018,7:09,600 Berckman St,PLAINFIELD,STOLEN AUTOMOBILE
3/3/2018,8:54,Grant Av && West 3rd St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/3/2018,9:11,600 Park Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/3/2018,10:50,312 Grant Av,PLAINFIELD,LARCENY OVER $200 - FROM AUTO/NOT PARTS
3/3/2018,11:47,1011 West 5th St,PLAINFIELD,FRAUD
3/3/2018,11:55,307 West 4th St,PLAINFIELD,LARCENY UNDER $50 - FROM AUTOS
3/3/2018,13:24,Park Av && West 7th St,PLAINFIELD,LARCENY OVER $200 - OTHER
3/3/2018,15:06,Madison Av && West 3rd St,PLAINFIELD,POSSESSION OF OPIUM/COCAINE/HEROIN
3/3/2018,16:43,City Of Plainfied,PLAINFIELD,SALE/MANUFACTURE OF OPIUM/COCAINE/DERIV
3/3/2018,21:34,Central Av && West 5th St,PLAINFIELD,SIMPLE ASSAULT
3/3/2018,21:38,315 East 5th St,PLAINFIELD,CRIMINAL MISCHIEF
3/3/2018,22:25,1444 Belleview Av,PLAINFIELD,SIMPLE ASSAULT
3/4/2018,2:39,10 Westervelt Av,PLAINFIELD,CRIMINAL MISCHIEF
3/4/2018,2:58,10 Westervelt Av,PLAINFIELD,CRIMINAL MISCHIEF
3/4/2018,2:59,10 Westervelt Av,PLAINFIELD,CRIMINAL MISCHIEF
3/4/2018,2:58,10 Westervelt Av,PLAINFIELD,CRIMINAL MISCHIEF
3/4/2018,2:59,10 Westervelt Av,PLAINFIELD,CRIMINAL MISCHIEF
3/4/2018,3:00,10 Westervelt Av,PLAINFIELD,CRIMINAL MISCHIEF
3/4/2018,3:00,10 Westervelt Av,PLAINFIELD,CRIMINAL MISCHIEF
3/4/2018,3:00,10 Westervelt Av,PLAINFIELD,CRIMINAL MISCHIEF
3/4/2018,3:21,10 Westervelt Av,PLAINFIELD,CRIMINAL MISCHIEF
3/4/2018,3:22,10 Westervelt Av,PLAINFIELD,CRIMINAL MISCHIEF
3/4/2018,3:22,10 Westervelt Av,PLAINFIELD,CRIMINAL MISCHIEF
3/4/2018,3:22,10 Westervelt Av,PLAINFIELD,CRIMINAL MISCHIEF
3/4/2018,6:38,1426 Willever St,PLAINFIELD,LARCENY OVER $200 - FROM BUILDINGS
3/4/2018,11:56,105 East Front St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/4/2018,15:42,New Providence Police,OTHER,OFFENSES NOT COVERED BY OTHER CLASSES
3/4/2018,16:28,635 West Front St,PLAINFIELD,SALE/MANUFACTURE OF OPIUM/COCAINE/DERIV
3/4/2018,17:29,313 Plainfield Av,PLAINFIELD,SIMPLE ASSAULT
3/4/2018,19:59,362 Evona Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/4/2018,21:28,120 West Front St,PLAINFIELD,LARCENY UNDER $50 - FROM AUTOS
3/4/2018,22:16,311 West Front St,PLAINFIELD,CRIMINAL MISCHIEF
3/4/2018,22:35,248 East 9th St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/5/2018,7:44,17 Compton Av,PLAINFIELD,LARCENY UNDER $50 - FROM AUTOS
3/5/2018,8:52,824 Stelle Av,PLAINFIELD,LARCENY UNDER $50 - OTHER
3/5/2018,10:26,123 North Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/5/2018,10:47,123 East 4th St,PLAINFIELD,POSSESSION OF MARIJUANA
3/5/2018,12:26,Middlesex Cty Jail,OTHER,OFFENSES NOT COVERED BY OTHER CLASSES
3/5/2018,13:17,1000 Myrtle Av,PLAINFIELD,SIMPLE ASSAULT
3/5/2018,15:35,Nj/Somerset County,OTHER,OFFENSES NOT COVERED BY OTHER CLASSES
3/5/2018,16:08,818 Webster Pl,PLAINFIELD,CRIMINAL MISCHIEF
3/5/2018,17:57,100 Grant Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/5/2018,19:37,739 South 2nd St,PLAINFIELD,LRCNY BTWN $50 & $200 - FROM AUTOS
3/5/2018,21:21,Nj/boundbrook,OTHER,OFFENSES NOT COVERED BY OTHER CLASSES
3/6/2018,7:58,1234 Cameron Av,PLAINFIELD,CRIMINAL MISCHIEF
3/6/2018,8:30,1832 Watchung Av,PLAINFIELD,CRIMINAL MISCHIEF
3/6/2018,18:12,842 West 4th St,PLAINFIELD,CRIMINAL MISCHIEF
3/6/2018,18:28,112 Madison Av,PLAINFIELD,SIMPLE ASSAULT
3/6/2018,21:44,Central Av && West 2nd St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/7/2018,11:21,1452 Randolph Rd,PLAINFIELD,MISSING ADULT
3/7/2018,13:57,1419 Myrtle Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/7/2018,13:57,816 1st Pl,PLAINFIELD,FRAUD
3/8/2018,12:58,602 Berckman St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/8/2018,13:19,968 West 3rd St,PLAINFIELD,LARCENY UNDER $50 - FROM AUTOS
3/8/2018,16:15,127 Johnston Av,PLAINFIELD,SIMPLE ASSAULT
3/8/2018,16:44,900 East 2nd St,PLAINFIELD,POSSESSION OF MARIJUANA
3/8/2018,22:33,508 Watchung Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/9/2018,1:26,941 East Front St,PLAINFIELD,POSSESSION OF MARIJUANA
3/9/2018,3:38,802 West Front St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/9/2018,15:55,611 Park Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/9/2018,16:51,1000 West 5th St,PLAINFIELD,LRCNY BTWN $50 & $200 - OTHER
3/9/2018,17:07,804 East 2nd St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/9/2018,17:36,1106 Park Av,PLAINFIELD,CRIMINAL MISCHIEF
3/9/2018,21:33,352 Bergen St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/9/2018,21:57,735 Park Av,PLAINFIELD,SIMPLE ASSAULT
3/10/2018,6:00,635 Park Av,PLAINFIELD,ROBBERY - DANG WEAPON - MISCELLANEOUS
3/10/2018,9:15,600 Park Av,PLAINFIELD,SIMPLE ASSAULT
3/10/2018,11:34,1623 Myrtle Av,PLAINFIELD,CRIMINAL MISCHIEF
3/10/2018,12:13,602 Berckman St,PLAINFIELD,SALE/MANUFACTURE OF MARIJUANA
3/10/2018,17:39,300 New St,PLAINFIELD,POSSESSION OF OPIUM/COCAINE/HEROIN
3/10/2018,17:53,22 Emma St,PLAINFIELD,FRAUD
3/10/2018,20:17,311 West Front St,PLAINFIELD,SIMPLE ASSAULT
3/10/2018,23:47,1145 West 4th St,PLAINFIELD,LARCENY UNDER $50 - FROM AUTOS
3/11/2018,1:19,East Front St && Park Av,PLAINFIELD,DISORDERLY CONDUCT
3/11/2018,1:50,307 East 7th St,PLAINFIELD,POSSESSION OF MARIJUANA
3/11/2018,4:16,1055 Rose St,PLAINFIELD,SIMPLE ASSAULT
3/11/2018,12:52,215 Monroe Av,PLAINFIELD,LARCENY OVER $200 - FROM AUTO/NOT PARTS
3/11/2018,14:32,34 Jefferson Av,PLAINFIELD,SIMPLE ASSAULT
3/11/2018,15:18,222 Watchung Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/12/2018,2:32,655 West 4th St,PLAINFIELD,SIMPLE ASSAULT
3/12/2018,4:43,585 East Front St,PLAINFIELD,LARCENY OVER $200 - OTHER
3/12/2018,9:24,101 East 7th St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/12/2018,13:54,19 Farragut Rd,PLAINFIELD,SIMPLE ASSAULT
3/12/2018,15:15,575 East Front St,PLAINFIELD,LARCENY UNDER $50 - FROM AUTOS
3/12/2018,15:32,10 Myrtle Av,OTHER,OFFENSES NOT COVERED BY OTHER CLASSES
3/12/2018,15:35,1324 Sloane Blvd,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/12/2018,20:19,737 Kensington Av,PLAINFIELD,SIMPLE ASSAULT
3/13/2018,0:13,142 Sumner Av,PLAINFIELD,SIMPLE ASSAULT
3/13/2018,10:11,634 East 2nd St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/13/2018,10:37,200 East Front St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/13/2018,11:04,434 East 5th St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/13/2018,12:45,139 Mckinley Pl,PLAINFIELD,FORCIBLE ENTRY - RESIDENCE - UNKNOWN
3/13/2018,12:49,116 Pineview Ter,PLAINFIELD,FORCIBLE ENTRY - RESIDENCE - UNKNOWN
3/13/2018,12:50,319 Lee Pl,PLAINFIELD,LARCENY UNDER $50 - OTHER
3/13/2018,14:43,950 Park Av,PLAINFIELD,SIMPLE ASSAULT
3/13/2018,15:32,400 West Front St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/13/2018,19:35,959 East Front St,PLAINFIELD,SIMPLE ASSAULT
3/13/2018,23:49,909 Park Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/13/2018,23:51,205 Garfield Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/14/2018,1:21,105 Johnston Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/14/2018,1:45,490 West 4th St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/14/2018,2:27,130 West Front St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/14/2018,11:53,1112 Watchung Av,PLAINFIELD,DISORDERLY CONDUCT
3/14/2018,15:01,John St && West 4th St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/14/2018,15:10,914 West 4th St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/14/2018,16:00,South Plainfield,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/14/2018,20:04,27 Netherwood Av,PLAINFIELD,CRIMINAL MISCHIEF
3/14/2018,20:32,Hillside Av && Prospect Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/14/2018,23:27,900 East Front St,PLAINFIELD,POSSESSION OF MARIJUANA
3/15/2018,0:13,1612 Slavin St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/15/2018,9:04,316 Bergen St,PLAINFIELD,CRIMINAL MISCHIEF
3/15/2018,10:16,100 New St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/15/2018,10:34,,OTHER,OFFENSES NOT COVERED BY OTHER CLASSES
3/15/2018,12:05,601 West 7th St,PLAINFIELD,CRIMINAL MISCHIEF
3/15/2018,12:10,123 West 7th St,PLAINFIELD,SIMPLE ASSAULT
3/15/2018,14:05,10 Washington Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/15/2018,15:06,107 Park Av,PLAINFIELD,LARCENY UNDER $50 - FROM AUTOS
3/15/2018,15:16,520 West Front St,PLAINFIELD,SIMPLE ASSAULT
3/15/2018,15:25,812 Leland Av,PLAINFIELD,CRIMINAL MISCHIEF
3/15/2018,16:54,425 Tate Ct,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/15/2018,19:05,41 Birch Av,PLAINFIELD,SALE/MANUFACTURE OF OPIUM/COCAINE/DERIV
3/15/2018,21:21,755 West Front St,PLAINFIELD,DISORDERLY CONDUCT
3/15/2018,22:02,950 Park Av,PLAINFIELD,SIMPLE ASSAULT
3/16/2018,0:54,429 East Front St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/16/2018,1:04,664 South Av,PLAINFIELD,SIMPLE ASSAULT
3/16/2018,10:35,1400 Marlborough Av,PLAINFIELD,LARCENY OVER $200 - FROM BUILDINGS
3/16/2018,11:13,661 West 8th St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/16/2018,11:19,500 West 4th St,PLAINFIELD,LRCNY BTWN $50 & $200 - FROM AUTOS
3/16/2018,11:31,209 Richmond St,PLAINFIELD,SIMPLE ASSAULT
3/16/2018,11:34,128 Central Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/16/2018,12:27,1200 Randolph Rd,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/16/2018,12:47,724 Dorbett Pl,PLAINFIELD,FRAUD
3/16/2018,14:28,148 East 5th St,PLAINFIELD,LARCENY OVER $200 - PURSE-SOTHERTCHING
3/16/2018,15:07,34 Somerset St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/16/2018,18:31,122 Carlisle Ter,PLAINFIELD,SIMPLE ASSAULT
3/16/2018,20:39,722 West Front St,PLAINFIELD,SIMPLE ASSAULT
3/16/2018,22:21,941 East Front St,PLAINFIELD,DISORDERLY CONDUCT
3/17/2018,0:05,32 Raymond Av,PLAINFIELD,MISSING MINOR
3/17/2018,13:30,116 Watchung Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/18/2018,0:17,1217 West Front St,PLAINFIELD,CRIMINAL MISCHIEF
3/18/2018,0:45,722 St Marys Av,PLAINFIELD,ASSAULT - OTHER DANGEROUS WEAPON
3/18/2018,1:49,10 Washington Av,PLAINFIELD,ROBBERY - STRONG ARM - HIGHWAY
3/18/2018,2:41,111 East Front St,PLAINFIELD,SIMPLE ASSAULT
3/18/2018,7:25,739 North Av,PLAINFIELD,POSSESSION OF MARIJUANA
3/18/2018,9:04,609 Madison Av,PLAINFIELD,SIMPLE ASSAULT
3/18/2018,10:19,1106 Park Av,PLAINFIELD,CRIMINAL MISCHIEF
3/18/2018,11:22,937 East Front St,PLAINFIELD,SIMPLE ASSAULT
3/18/2018,13:55,Union Cty Jail,OTHER,OFFENSES NOT COVERED BY OTHER CLASSES
3/18/2018,16:31,Central Av && West 2nd St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/18/2018,16:44,426 Madison Av,PLAINFIELD,SIMPLE ASSAULT
3/18/2018,20:51,1275 Hollywood Av,PLAINFIELD,CRIMINAL MISCHIEF
3/18/2018,21:35,1600 South 2nd St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/19/2018,1:42,968 West 3rd St,PLAINFIELD,SIMPLE ASSAULT
3/19/2018,10:20,827 East Front St,PLAINFIELD,SIMPLE ASSAULT
3/19/2018,10:38,1227 East Front St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/19/2018,11:26,10 Grove St,PLAINFIELD,POSSESSION OF OPIUM/COCAINE/HEROIN
3/19/2018,12:31,604 Roosevelt Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/19/2018,13:41,1349 West 4th St,PLAINFIELD,LARCENY OVER $200 - OTHER
3/19/2018,15:25,136 Berkeley Ter,PLAINFIELD,SIMPLE ASSAULT
3/19/2018,16:33,136 Berkeley Ter,PLAINFIELD,SIMPLE ASSAULT
3/19/2018,19:42,1331 Putnam Av,PLAINFIELD,CRIMINAL MISCHIEF
3/19/2018,23:53,300 Franklin Pl,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/20/2018,0:23,117 Crescent Av,PLAINFIELD,SIMPLE ASSAULT
3/20/2018,9:14,583 East Front St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/20/2018,12:34,100 East 4th St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/20/2018,13:54,Midddlesex County/Null,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/20/2018,14:28,919 Central Av,PLAINFIELD,LRCNY BTWN $50 & $200 - OTHER
3/20/2018,15:03,324 Watson V,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/20/2018,15:53,1250 South Av,PLAINFIELD,EMBEZZLEMENT
3/20/2018,16:06,Middlesex County,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/20/2018,16:25,1201 West 6th St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/20/2018,17:53,935 South 2nd St,PLAINFIELD,SIMPLE ASSAULT
3/20/2018,19:59,722 Sheridan Av,PLAINFIELD,CRIMINAL MISCHIEF
3/20/2018,20:46,528 West 6th St,PLAINFIELD,SIMPLE ASSAULT
3/21/2018,10:57,655 West 4th St,PLAINFIELD,AGGRAVATED ASSAULT
3/21/2018,12:13,144 East 6th St,PLAINFIELD,SIMPLE ASSAULT
3/21/2018,13:42,1700 West Front St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/21/2018,14:45,444 West 5th St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/21/2018,21:03,8 Johannis Pl,PLAINFIELD,STOLEN AUTOMOBILE
3/21/2018,22:29,422 Spruce St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/21/2018,22:32,33 Berkeley Ter,PLAINFIELD,POSSESSION OF MARIJUANA
3/22/2018,9:23,826 West 8th St,PLAINFIELD,CRIMINAL MISCHIEF
3/22/2018,12:13,600 Park Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/22/2018,13:41,700 Sheridan Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/22/2018,14:27,1011 West 7th St,PLAINFIELD,LARCENY OVER $200 - FROM BUILDINGS
3/22/2018,15:15,1011 West 7th St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/22/2018,15:19,444 Stelle Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/22/2018,15:37,950 Park Av,PLAINFIELD,SIMPLE ASSAULT
3/22/2018,16:43,570 West 4th St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/22/2018,16:48,920 East 7th St,PLAINFIELD,SIMPLE ASSAULT
3/22/2018,16:57,935 Stelle Av,PLAINFIELD,LARCENY UNDER $50 - OTHER
3/22/2018,17:52,333 Manson Pl,PLAINFIELD,FORCIBLE ENTRY - RESIDENCE - DAYTIME
3/22/2018,19:46,300 Liberty St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/22/2018,20:32,305 Central Av,PLAINFIELD,ROBBERY - FIREARM - MISCELLANEOUS
3/22/2018,22:28,1022 Rose St,PLAINFIELD,SIMPLE ASSAULT
3/22/2018,22:35,326 Berckman St,PLAINFIELD,POSSESSION OF MARIJUANA
3/22/2018,23:59,131 East Front St,PLAINFIELD,CRIMINAL MISCHIEF
3/23/2018,6:35,1147 West 4th St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/23/2018,8:29,950 Park Av,PLAINFIELD,SIMPLE ASSAULT
3/23/2018,11:02,531 West Front St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/23/2018,11:20,Plainfield Av && West Front St,PLAINFIELD,POSSESSION OF OPIUM/COCAINE/HEROIN
3/23/2018,15:38,300 West 4th St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/23/2018,18:23,1413 Myrtle Av,PLAINFIELD,FRAUD
3/24/2018,1:13,New St && West Front St,PLAINFIELD,SALE/MANUFACTURE OF OPIUM/COCAINE/DERIV
3/24/2018,3:31,1035 South Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/24/2018,9:54,1000 South Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/24/2018,10:23,12 Johannis Pl,PLAINFIELD,SIMPLE ASSAULT
3/24/2018,21:17,962 West 3rd St,PLAINFIELD,MISSING MINOR
3/24/2018,23:25,920 East 7th St,PLAINFIELD,DRIVING WHILE INTOXICATED /ALCOHOL/DRUGS
3/25/2018,2:49,120 Randolph Rd,PLAINFIELD,POSSESSION OF MARIJUANA
3/25/2018,10:05,400 East Front St,PLAINFIELD,MISSING MINOR
3/25/2018,16:46,100 East Front St,PLAINFIELD,POSSESSION OF MARIJUANA
3/25/2018,19:19,329 Sumner Av,PLAINFIELD,SIMPLE ASSAULT
3/25/2018,21:58,911 South Av,PLAINFIELD,LRCNY BTWN $50 & $200 - SHOPLIFTING
3/25/2018,22:06,East 9th St && Park Av,PLAINFIELD,POSSESSION OF MARIJUANA
3/26/2018,1:57,227 Stebbins Pl,PLAINFIELD,AGGRAVATED ASSAULT
3/26/2018,2:42,Central Av && West 4th St,PLAINFIELD,LOITERING AND CURFEW LAWS - MINORS
3/26/2018,8:31,1118 East 3rd St,PLAINFIELD,LRCNY BTWN $50 & $200 - FROM AUTOS
3/26/2018,9:07,1114 East 3rd St,PLAINFIELD,CRIMINAL MISCHIEF
3/26/2018,12:01,700 South Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/26/2018,12:32,35 Watchung Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/26/2018,12:42,715 Richmond St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/26/2018,13:31,135 Carlisle Ter,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
3/26/2018,17:09,800 Park Av,PLAINFIELD,LARCENY OVER $200 - OTHER
